"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered"
"56",97,1,0.4,0.516397779494322,3670.92999999896,335.356010003832,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,-0.126569579288028
"57",99,1,0,0,NA,NA,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"58",101,1,1,0,2700,343.39546363405,1,FALSE,"digit_span",11,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"59",102,1,0.9,0.316227766016838,3211.11111112436,236.336854120259,1,TRUE,"spatial_recall",7,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"60",103,1,0.9,0.316227766016838,3213,460.372132084469,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"61",104,1,0.6,0.516397779494322,2371.75,396.675019920049,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",1,0.0734304207119723
"62",106,1,1,0,2270.22999999989,319.621898324926,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"63",108,1,0.8,0.421637021355784,3580.125,412.963311237901,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"64",109,1,1,0,3074.8,436.3145654227,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"65",110,1,0,0,NA,NA,1,FALSE,"digit_span",14,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"66",111,1,0.1,0.316227766016838,3514,470.933116270241,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,-0.426569579288028
"67",112,1,0.7,0.483045891539648,3351.49999997351,466.490072258401,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
"68",113,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"69",114,1,0.3,0.483045891539648,2173.99999999338,303.656969298799,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",1,-0.226569579288028
"70",116,1,0.7,0.483045891539648,3140.75999997854,352.293009996554,1,TRUE,"spatial_recall",7,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
"71",119,1,0,0,NA,NA,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"72",120,1,0.9,0.316227766016838,3104.8,428.827289761793,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"73",122,1,0.5,0.52704627669473,2066.69000000209,263.166936669627,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",1,-0.0265695792880277
"74",125,1,0,0,NA,NA,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"75",126,1,0.7,0.483045891539648,2481.33333333333,314.647004594264,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
"76",128,1,0,0,NA,NA,1,FALSE,"digit_span",14,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"77",129,1,0.4,0.516397779494322,3188.40000009537,305.119320769343,1,TRUE,"spatial_recall",16,"epoch_same_same","stay_within_block","stay",1,-0.126569579288028
"78",132,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"79",134,1,0.6,0.516397779494322,2670.55555555556,343.619015448473,1,TRUE,"spatial_recall",10,"epoch_same_same","stay_within_block","stay",1,0.0734304207119723
"80",135,1,0.9,0.316227766016838,3283.55555555556,283.356273581119,1,FALSE,"digit_span",10,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"81",136,1,0.7,0.483045891539648,2945.15555553966,269.944656909869,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
"82",137,1,1,0,1987.3,616.317387570903,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"83",138,1,0.9,0.316227766016838,2776.3100000009,505.465236632725,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"84",139,1,0.9,0.316227766016838,2422.90000000894,595.54374033977,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"85",140,1,0,0,NA,NA,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"86",141,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"87",143,1,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"88",145,1,0.7,0.483045891539648,3882.625,306.716219469584,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,0.173430420711972
"89",147,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"90",148,1,0.8,0.421637021355784,3562.25,359.879245620766,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"91",150,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"92",151,1,1,0,3890.5,231.107598798097,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"93",152,1,0.8,0.421637021355784,3961.84444446034,96.3263088325307,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,0.273430420711972
"94",153,1,0.9,0.316227766016838,2686.73333337572,183.086700749033,1,TRUE,"spatial_recall",7,"epoch_same_same","stay_within_block","stay",1,0.373430420711972
"95",154,1,1,0,2208.8400000006,294.844102687013,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",1,0.473430420711972
"96",155,1,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
"97",156,1,0,0,NA,NA,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",1,-0.526569579288028
